Tempo: 17.3s	Setpoint: 159 RPM		Vel.: 70 RPM	erro: 88.66 RPM		Controle: 53.20	AcaoP: 53.20	AcaoI: 0.00	 AcaoD: 0.00
Tempo: 17.4s	Setpoint: 160 RPM		Vel.: 70 RPM	erro: 89.66 RPM		Controle: 53.20	AcaoP: 53.80	AcaoI: 0.00	 AcaoD: 0.00
Tempo: 17.5s	Setpoint: 159 RPM		Vel.: 69 RPM	erro: 90.42 RPM		Controle: 53.80	AcaoP: 54.25	AcaoI: 0.00	 AcaoD: 0.00
Tempo: 17.6s	Setpoint: 159 RPM		Vel.: 70 RPM	erro: 88.66 RPM		Controle: 54.25	AcaoP: 53.20	AcaoI: 0.00	 AcaoD: 0.00
Tempo: 17.8s	Setpoint: 160 RPM		Vel.: 69 RPM	erro: 91.42 RPM		Controle: 53.20	AcaoP: 54.85	AcaoI: 0.00	 AcaoD: 0.00
Tempo: 17.9s	Setpoint: 159 RPM		Vel.: 70 RPM	erro: 88.66 RPM		Controle: 54.85	AcaoP: 53.20	AcaoI: 0.00	 AcaoD: 0.00
Tempo: 18.0s	Setpoint: 159 RPM		Vel.: 70 RPM	erro: 88.66 RPM		Controle: 53.20	AcaoP: 53.20	AcaoI: 0.00	 AcaoD: 0.00
Tempo: 18.1s	Setpoint: 159 RPM		Vel.: 70 RPM	erro: 88.66 RPM		Controle: 53.20	AcaoP: 53.20	AcaoI: 0.00	 AcaoD: 0.00
Tempo: 18.2s	Setpoint: 159 RPM		Vel.: 69 RPM	erro: 90.42 RPM		Controle: 53.20	AcaoP: 54.25	AcaoI: 0.00	 AcaoD: 0.00
Tempo: 18.4s	Setpoint: 159 RPM		Vel.: 70 RPM	erro: 88.66 RPM		Controle: 54.25	AcaoP: 53.20	AcaoI: 0.00	 AcaoD: 0.00
Tempo: 18.5s	Setpoint: 159 RPM		Vel.: 69 RPM	erro: 90.42 RPM		Controle: 53.20	AcaoP: 54.25	AcaoI: 0.00	 AcaoD: 0.00
Tempo: 18.6s	Setpoint: 159 RPM		Vel.: 70 RPM	erro: 88.66 RPM		Controle: 54.25	AcaoP: 53.20	AcaoI: 0.00	 AcaoD: 0.00
Tempo: 18.7s	Setpoint: 160 RPM		Vel.: 70 RPM	erro: 89.66 RPM		Controle: 53.20	AcaoP: 53.80	AcaoI: 0.00	 AcaoD: 0.00
Tempo: 18.9s	Setpoint: 159 RPM		Vel.: 70 RPM	erro: 88.66 RPM		Controle: 53.80	AcaoP: 53.20	AcaoI: 0.00	 AcaoD: 0.00
Tempo: 19.0s	Setpoint: 159 RPM		Vel.: 70 RPM	erro: 88.66 RPM		Controle: 53.20	AcaoP: 53.20	AcaoI: 0.00	 AcaoD: 0.00
Tempo: 19.1s	Setpoint: 160 RPM		Vel.: 69 RPM	erro: 91.42 RPM		Controle: 53.20	AcaoP: 54.85	AcaoI: 0.00	 AcaoD: 0.00
Tempo: 19.2s	Setpoint: 159 RPM		Vel.: 70 RPM	erro: 88.66 RPM		Controle: 54.85	AcaoP: 53.20	AcaoI: 0.00	 AcaoD: 0.00
Tempo: 19.3s	Setpoint: 159 RPM		Vel.: 69 RPM	erro: 90.42 RPM		Controle: 53.20	AcaoP: 54.25	AcaoI: 0.00	 AcaoD: 0.00
Tempo: 19.5s	Setpoint: 160 RPM		Vel.: 70 RPM	erro: 89.66 RPM		Controle: 54.25	AcaoP: 53.80	AcaoI: 0.00	 AcaoD: 0.00
Tempo: 19.6s	Setpoint: 159 RPM		Vel.: 70 RPM	erro: 88.66 RPM		Controle: 53.80	AcaoP: 53.20	AcaoI: 0.00	 AcaoD: 0.00
Tempo: 19.7s	Setpoint: 159 RPM		Vel.: 70 RPM	erro: 88.66 RPM		Controle: 53.20	AcaoP: 53.20	AcaoI: 0.00	 AcaoD: 0.00
Tempo: 19.8s	Setpoint: 160 RPM		Vel.: 70 RPM	erro: 89.66 RPM		Controle: 53.20	AcaoP: 53.80	AcaoI: 0.00	 AcaoD: 0.00
Tempo: 20.0s	Setpoint: 159 RPM		Vel.: 69 RPM	erro: 90.42 RPM		Controle: 53.80	AcaoP: 54.25	AcaoI: 0.00	 AcaoD: 0.00
Tempo: 20.1s	Setpoint: 159 RPM		Vel.: 70 RPM	erro: 88.66 RPM		Controle: 54.25	AcaoP: 53.20	AcaoI: 0.00	 AcaoD: 0.00
Tempo: 20.2s	Setpoint: 159 RPM		Vel.: 70 RPM	erro: 88.66 RPM		Controle: 53.20	AcaoP: 53.20	AcaoI: 0.00	 AcaoD: 0.00
Tempo: 20.3s	Setpoint: 159 RPM		Vel.: 69 RPM	erro: 90.42 RPM		Controle: 53.20	AcaoP: 54.25	AcaoI: 0.00	 AcaoD: 0.00
