Tempo(s),Setpoint(RPM),Vel(RPM),erro(RPM),Controle,AcaoP,AcaoI
19.2,-160,-72,-87.90,-61.53,-61.53,0.00
19.3,-160,-72,-87.90,-61.53,-61.53,0.00
19.4,-160,-70,-89.66,-61.53,-62.76,0.00
19.5,-160,-72,-87.90,-62.76,-61.53,0.00
19.6,-160,-72,-87.90,-61.53,-61.53,0.00
19.7,-160,-74,-86.14,-61.53,-60.30,0.00
19.9,-160,-72,-87.90,-60.30,-61.53,0.00
20.0,-160,-72,-87.90,-61.53,-61.53,0.00
20.1,-160,-72,-87.90,-61.53,-61.53,0.00
20.2,-160,-72,-87.90,-61.53,-61.53,0.00
20.3,-160,-72,-87.90,-61.53,-61.53,0.00
20.4,-160,-72,-87.90,-61.53,-61.53,0.00
20.5,-160,-70,-89.66,-61.53,-62.76,0.00
20.7,-160,-72,-87.90,-62.76,-61.53,0.00
20.8,-160,-70,-89.66,-61.53,-62.76,0.00
20.9,-160,-70,-89.66,-62.76,-62.76,0.00
21.0,-160,-72,-87.90,-62.76,-61.53,0.00
21.1,-160,-72,-87.90,-61.53,-61.53,0.00
21.2,-160,-72,-87.90,-61.53,-61.53,0.00
21.3,-160,-72,-87.90,-61.53,-61.53,0.00
21.4,-160,-72,-87.90,-61.53,-61.53,0.00
21.6,-160,-72,-87.90,-61.53,-61.53,0.00
21.7,-160,-74,-86.14,-61.53,-60.30,0.00
21.8,-160,-72,-87.90,-60.30,-61.53,0.00
21.9,-160,-72,-87.90,-61.53,-61.53,0.00
22.0,-160,-72,-87.90,-61.53,-61.53,0.00
22.1,-160,-72,-87.90,-61.53,-61.53,0.00
22.2,-160,-70,-89.66,-61.53,-62.76,0.00
22.4,-160,-72,-87.90,-62.76,-61.53,0.00
22.5,-160,-72,-87.90,-61.53,-61.53,0.00
22.6,-160,-72,-87.90,-61.53,-61.53,0.00
22.7,-160,-70,-89.66,-61.53,-62.76,0.00
22.8,-160,-72,-87.90,-62.76,-61.53,0.00
22.9,-160,-72,-87.90,-61.53,-61.53,0.00
23.0,-160,-74,-86.14,-61.53,-60.30,0.00
23.1,-160,-72,-87.90,-60.30,-61.53,0.00
23.3,-160,-72,-87.90,-61.53,-61.53,0.00
23.4,-160,-70,-89.66,-61.53,-62.76,0.00
23.5,-160,-72,-87.90,-62.76,-61.53,0.00
23.6,-160,-72,-87.90,-61.53,-61.53,0.00
23.7,-160,-74,-86.14,-61.53,-60.30,0.00
23.8,-160,-72,-87.90,-60.30,-61.53,0.00
23.9,-160,-72,-87.90,-61.53,-61.53,0.00
24.1,-160,-74,-86.14,-61.53,-60.30,0.00
24.2,-160,-72,-87.90,-60.30,-61.53,0.00
24.3,-160,-72,-87.90,-61.53,-61.53,0.00
24.4,-160,-72,-87.90,-61.53,-61.53,0.00
24.5,-160,-72,-87.90,-61.53,-61.53,0.00
24.6,-160,-72,-87.90,-61.53,-61.53,0.00
24.7,-160,-74,-86.14,-61.53,-60.30,0.00
24.8,-160,-72,-87.90,-60.30,-61.53,0.00
25.0,-160,-72,-87.90,-61.53,-61.53,0.00
25.1,-160,-72,-87.90,-61.53,-61.53,0.00
25.2,-160,-72,-87.90,-61.53,-61.53,0.00
25.3,-160,-72,-87.90,-61.53,-61.53,0.00
25.4,-160,-72,-87.90,-61.53,-61.53,0.00
25.5,-160,-74,-86.14,-61.53,-60.30,0.00
25.6,-160,-72,-87.90,-60.30,-61.53,0.00
25.8,-160,-72,-87.90,-61.53,-61.53,0.00
25.9,-160,-72,-87.90,-61.53,-61.53,0.00
26.0,-160,-72,-87.90,-61.53,-61.53,0.00
26.1,-160,-72,-87.90,-61.53,-61.53,0.00
26.2,-160,-72,-87.90,-61.53,-61.53,0.00
26.3,-160,-72,-87.90,-61.53,-61.53,0.00
26.4,-160,-72,-87.90,-61.53,-61.53,0.00
26.5,-160,-72,-87.90,-61.53,-61.53,0.00
26.7,-160,-72,-87.90,-61.53,-61.53,0.00
26.8,-160,-74,-86.14,-61.53,-60.30,0.00
26.9,-160,-72,-87.90,-60.30,-61.53,0.00
27.0,-160,-72,-87.90,-61.53,-61.53,0.00
27.1,-160,-72,-87.90,-61.53,-61.53,0.00
27.2,-160,-74,-86.14,-61.53,-60.30,0.00
27.3,-160,-72,-87.90,-60.30,-61.53,0.00
27.5,-160,-72,-87.90,-61.53,-61.53,0.00
27.6,-160,-72,-87.90,-61.53,-61.53,0.00
27.7,-160,-72,-87.90,-61.53,-61.53,0.00
27.8,-160,-72,-87.90,-61.53,-61.53,0.00
27.9,-160,-72,-87.90,-61.53,-61.53,0.00
28.0,-160,-72,-87.90,-61.53,-61.53,0.00
28.1,-160,-72,-87.90,-61.53,-61.53,0.00
28.2,-160,-72,-87.90,-61.53,-61.53,0.00
28.4,-160,-72,-87.90,-61.53,-61.53,0.00
28.5,-160,-74,-86.14,-61.53,-60.30,0.00
28.6,-160,-72,-87.90,-60.30,-61.53,0.00
28.7,-160,-72,-87.90,-61.53,-61.53,0.00
28.8,-160,-72,-87.90,-61.53,-61.53,0.00
28.9,-160,-70,-89.66,-61.53,-62.76,0.00
29.0,-160,-72,-87.90,-62.76,-61.53,0.00
29.2,-160,-72,-87.90,-61.53,-61.53,0.00
29.3,-160,-70,-89.66,-61.53,-62.76,0.00
29.4,-160,-72,-87.90,-62.76,-61.53,0.00
29.5,-160,-72,-87.90,-61.53,-61.53,0.00
29.6,-160,-74,-86.14,-61.53,-60.30,0.00
29.7,-160,-72,-87.90,-60.30,-61.53,0.00
29.8,-160,-72,-87.90,-61.53,-61.53,0.00
29.9,-160,-70,-89.66,-61.53,-62.76,0.00
30.1,-160,-72,-87.90,-62.76,-61.53,0.00
30.2,-160,-72,-87.90,-61.53,-61.53,0.00
30.3,-160,-72,-87.90,-61.53,-61.53,0.00
30.4,-160,-72,-87.90,-61.53,-61.53,0.00
30.5,-160,-72,-87.90,-61.53,-61.53,0.00
30.6,-160,-72,-87.90,-61.53,-61.53,0.00
30.7,-160,-70,-89.66,-61.53,-62.76,0.00
30.9,-160,-72,-87.90,-62.76,-61.53,0.00
31.0,-160,-72,-87.90,-61.53,-61.53,0.00
31.1,-160,-72,-87.90,-61.53,-61.53,0.00
31.2,-160,-74,-86.14,-61.53,-60.30,0.00
31.3,-160,-72,-87.90,-60.30,-61.53,0.00
31.4,-160,-72,-87.90,-61.53,-61.53,0.00
31.5,-160,-72,-87.90,-61.53,-61.53,0.00
31.6,-160,-72,-87.90,-61.53,-61.53,0.00
31.8,-160,-72,-87.90,-61.53,-61.53,0.00
31.9,-160,-74,-86.14,-61.53,-60.30,0.00
32.0,-160,-72,-87.90,-60.30,-61.53,0.00
32.1,-160,-72,-87.90,-61.53,-61.53,0.00
32.2,-160,-72,-87.90,-61.53,-61.53,0.00
32.3,-160,-72,-87.90,-61.53,-61.53,0.00
32.4,-160,-72,-87.90,-61.53,-61.53,0.00
32.6,-160,-72,-87.90,-61.53,-61.53,0.00
32.7,-160,-74,-86.14,-61.53,-60.30,0.00
32.8,-160,-72,-87.90,-60.30,-61.53,0.00
32.9,-160,-72,-87.90,-61.53,-61.53,0.00
33.0,-160,-72,-87.90,-61.53,-61.53,0.00
33.1,-160,-72,-87.90,-61.53,-61.53,0.00
33.2,-160,-74,-86.14,-61.53,-60.30,0.00
33.3,-160,-72,-87.90,-60.30,-61.53,0.00
33.5,-160,-72,-87.90,-61.53,-61.53,0.00
33.6,-160,-72,-87.90,-61.53,-61.53,0.00
33.7,-160,-72,-87.90,-61.53,-61.53,0.00
33.8,-160,-74,-86.14,-61.53,-60.30,0.00
33.9,-160,-72,-87.90,-60.30,-61.53,0.00
34.0,-160,-72,-87.90,-61.53,-61.53,0.00
34.1,-160,-72,-87.90,-61.53,-61.53,0.00
34.3,-160,-72,-87.90,-61.53,-61.53,0.00
34.4,-160,-72,-87.90,-61.53,-61.53,0.00
34.5,-160,-72,-87.90,-61.53,-61.53,0.00
34.6,-160,-72,-87.90,-61.53,-61.53,0.00
34.7,-160,-74,-86.14,-61.53,-60.30,0.00
34.8,-160,-72,-87.90,-60.30,-61.53,0.00
34.9,-160,-72,-87.90,-61.53,-61.53,0.00
35.0,-160,-72,-87.90,-61.53,-61.53,0.00
35.2,-160,-72,-87.90,-61.53,-61.53,0.00
35.3,-160,-74,-86.14,-61.53,-60.30,0.00
35.4,-160,-72,-87.90,-60.30,-61.53,0.00
35.5,-160,-72,-87.90,-61.53,-61.53,0.00
35.6,-160,-74,-86.14,-61.53,-60.30,0.00
35.7,-160,-70,-89.66,-60.30,-62.76,0.00
35.8,-160,-72,-87.90,-62.76,-61.53,0.00
36.0,-160,-70,-89.66,-61.53,-62.76,0.00
36.1,-160,-72,-87.90,-62.76,-61.53,0.00
36.2,-160,-72,-87.90,-61.53,-61.53,0.00
36.3,-160,-74,-86.14,-61.53,-60.30,0.00
36.4,-160,-72,-87.90,-60.30,-61.53,0.00
36.5,-160,-72,-87.90,-61.53,-61.53,0.00
36.6,-160,-72,-87.90,-61.53,-61.53,0.00
36.8,-160,-72,-87.90,-61.53,-61.53,0.00
36.9,-160,-72,-87.90,-61.53,-61.53,0.00
37.0,-160,-74,-86.14,-61.53,-60.30,0.00
37.1,-160,-72,-87.90,-60.30,-61.53,0.00
37.2,-160,-72,-87.90,-61.53,-61.53,0.00
37.3,-160,-72,-87.90,-61.53,-61.53,0.00
37.4,-160,-72,-87.90,-61.53,-61.53,0.00
37.5,-160,-72,-87.90,-61.53,-61.53,0.00
37.7,-160,-74,-86.14,-61.53,-60.30,0.00
37.8,-160,-72,-87.90,-60.30,-61.53,0.00
37.9,-160,-74,-86.14,-61.53,-60.30,0.00
38.0,-160,-72,-87.90,-60.30,-61.53,0.00
