Tempo: 10.0s,Setpoint: 159 RPM,,Vel.: 86 RPM,erro: 72.83 RPM,,Controle: 72.83,AcaoP: 72.83,AcaoI: 0.00
Tempo: 10.1s,Setpoint: 159 RPM,,Vel.: 88 RPM,erro: 71.08 RPM,,Controle: 72.83,AcaoP: 71.08,AcaoI: 0.00
Tempo: 10.2s,Setpoint: 159 RPM,,Vel.: 86 RPM,erro: 72.83 RPM,,Controle: 71.08,AcaoP: 72.83,AcaoI: 0.00
Tempo: 10.3s,Setpoint: 159 RPM,,Vel.: 86 RPM,erro: 72.83 RPM,,Controle: 72.83,AcaoP: 72.83,AcaoI: 0.00
Tempo: 10.4s,Setpoint: 159 RPM,,Vel.: 88 RPM,erro: 71.08 RPM,,Controle: 72.83,AcaoP: 71.08,AcaoI: 0.00
Tempo: 10.5s,Setpoint: 159 RPM,,Vel.: 84 RPM,erro: 74.59 RPM,,Controle: 71.08,AcaoP: 74.59,AcaoI: 0.00
Tempo: 10.6s,Setpoint: 160 RPM,,Vel.: 86 RPM,erro: 73.83 RPM,,Controle: 74.59,AcaoP: 73.83,AcaoI: 0.00
Tempo: 10.7s,Setpoint: 160 RPM,,Vel.: 86 RPM,erro: 73.83 RPM,,Controle: 73.83,AcaoP: 73.83,AcaoI: 0.00
Tempo: 10.8s,Setpoint: 160 RPM,,Vel.: 88 RPM,erro: 72.08 RPM,,Controle: 73.83,AcaoP: 72.08,AcaoI: 0.00
Tempo: 10.9s,Setpoint: 160 RPM,,Vel.: 86 RPM,erro: 73.83 RPM,,Controle: 72.08,AcaoP: 73.83,AcaoI: 0.00
Tempo: 11.0s,Setpoint: 160 RPM,,Vel.: 88 RPM,erro: 72.08 RPM,,Controle: 73.83,AcaoP: 72.08,AcaoI: 0.00
Tempo: 11.1s,Setpoint: 160 RPM,,Vel.: 86 RPM,erro: 73.83 RPM,,Controle: 72.08,AcaoP: 73.83,AcaoI: 0.00
Tempo: 11.3s,Setpoint: 160 RPM,,Vel.: 88 RPM,erro: 72.08 RPM,,Controle: 73.83,AcaoP: 72.08,AcaoI: 0.00
Tempo: 11.4s,Setpoint: 160 RPM,,Vel.: 86 RPM,erro: 73.83 RPM,,Controle: 72.08,AcaoP: 73.83,AcaoI: 0.00
Tempo: 11.5s,Setpoint: 159 RPM,,Vel.: 88 RPM,erro: 71.08 RPM,,Controle: 73.83,AcaoP: 71.08,AcaoI: 0.00
Tempo: 11.6s,Setpoint: 159 RPM,,Vel.: 86 RPM,erro: 72.83 RPM,,Controle: 71.08,AcaoP: 72.83,AcaoI: 0.00
Tempo: 11.7s,Setpoint: 159 RPM,,Vel.: 88 RPM,erro: 71.08 RPM,,Controle: 72.83,AcaoP: 71.08,AcaoI: 0.00
