Tempo: 8.42s	Velocidade angular do Motor: -178 RPM	PWM: 249.00	 Pulsos por periodo: -101
Tempo: 8.52s	Velocidade angular do Motor: -178 RPM	PWM: 250.00	 Pulsos por periodo: -101
Tempo: 8.62s	Velocidade angular do Motor: -176 RPM	PWM: 252.00	 Pulsos por periodo: -100
Tempo: 8.72s	Velocidade angular do Motor: -179 RPM	PWM: 250.00	 Pulsos por periodo: -102
Tempo: 8.82s	Velocidade angular do Motor: -178 RPM	PWM: 250.00	 Pulsos por periodo: -101
Tempo: 8.92s	Velocidade angular do Motor: -176 RPM	PWM: 249.00	 Pulsos por periodo: -100
Tempo: 9.02s	Velocidade angular do Motor: -179 RPM	PWM: 251.00	 Pulsos por periodo: -102
Tempo: 9.12s	Velocidade angular do Motor: -178 RPM	PWM: 251.00	 Pulsos por periodo: -101
Tempo: 9.22s	Velocidade angular do Motor: -174 RPM	PWM: 251.00	 Pulsos por periodo: -99
Tempo: 9.32s	Velocidade angular do Motor: -178 RPM	PWM: 253.00	 Pulsos por periodo: -101
Tempo: 9.42s	Velocidade angular do Motor: -176 RPM	PWM: 250.00	 Pulsos por periodo: -100
Tempo: 9.52s	Velocidade angular do Motor: -176 RPM	PWM: 252.00	 Pulsos por periodo: -100
Tempo: 9.62s	Velocidade angular do Motor: -178 RPM	PWM: 253.00	 Pulsos por periodo: -101
Tempo: 9.72s	Velocidade angular do Motor: -176 RPM	PWM: 254.00	 Pulsos por periodo: -100
Tempo: 9.82s	Velocidade angular do Motor: -176 RPM	PWM: 251.00	 Pulsos por periodo: -100
Tempo: 9.92s	Velocidade angular do Motor: -178 RPM	PWM: 252.00	 Pulsos por periodo: -101
Tempo: 10.02s	Velocidade angular do Motor: -178 RPM	PWM: 251.00	 Pulsos por periodo: -101
Tempo: 10.12s	Velocidade angular do Motor: -176 RPM	PWM: 254.00	 Pulsos por periodo: -100
Tempo: 10.22s	Velocidade angular do Motor: -178 RPM	PWM: 251.00	 Pulsos por periodo: -101
Tempo: 10.32s	Velocidade angular do Motor: -178 RPM	PWM: 250.00	 Pulsos por periodo: -101
Tempo: 10.42s	Velocidade angular do Motor: -176 RPM	PWM: 253.00	 Pulsos por periodo: -100
Tempo: 10.52s	Velocidade angular do Motor: -179 RPM	PWM: 252.00	 Pulsos por periodo: -102
Tempo: 10.62s	Velocidade angular do Motor: -178 RPM	PWM: 251.00	 Pulsos por periodo: -101
Tempo: 10.72s	Velocidade angular do Motor: -176 RPM	PWM: 254.00	 Pulsos por periodo: -100
Tempo: 10.82s	Velocidade angular do Motor: -178 RPM	PWM: 252.00	 Pulsos por periodo: -101
Tempo: 10.92s	Velocidade angular do Motor: -178 RPM	PWM: 251.00	 Pulsos por periodo: -101
Tempo: 11.02s	Velocidade angular do Motor: -176 RPM	PWM: 252.00	 Pulsos por periodo: -100
Tempo: 11.12s	Velocidade angular do Motor: -176 RPM	PWM: 250.00	 Pulsos por periodo: -100
