Tempo: 8.6s	Setpoint: -160 RPM		Vel.: -149 RPM	erro: -10.53 RPM		Controle: -109.48	AcaoP: -6.32	AcaoI: -102.64	 AcaoD: 0.00
Tempo: 8.7s	Setpoint: -160 RPM		Vel.: -149 RPM	erro: -10.53 RPM		Controle: -108.95	AcaoP: -6.32	AcaoI: -103.16	 AcaoD: 0.00
Tempo: 8.8s	Setpoint: -160 RPM		Vel.: -151 RPM	erro: -8.77 RPM		Controle: -109.48	AcaoP: -5.26	AcaoI: -103.60	 AcaoD: 0.00
Tempo: 9.0s	Setpoint: -160 RPM		Vel.: -149 RPM	erro: -10.53 RPM		Controle: -108.86	AcaoP: -6.32	AcaoI: -104.13	 AcaoD: 0.00
Tempo: 9.1s	Setpoint: -160 RPM		Vel.: -151 RPM	erro: -8.77 RPM		Controle: -110.44	AcaoP: -5.26	AcaoI: -104.57	 AcaoD: 0.00
Tempo: 9.2s	Setpoint: -160 RPM		Vel.: -149 RPM	erro: -10.53 RPM		Controle: -109.83	AcaoP: -6.32	AcaoI: -105.09	 AcaoD: 0.00
Tempo: 9.4s	Setpoint: -160 RPM		Vel.: -153 RPM	erro: -7.01 RPM		Controle: -111.41	AcaoP: -4.21	AcaoI: -105.44	 AcaoD: 0.00
Tempo: 9.5s	Setpoint: -160 RPM		Vel.: -151 RPM	erro: -8.77 RPM		Controle: -109.65	AcaoP: -5.26	AcaoI: -105.88	 AcaoD: 0.00
Tempo: 9.6s	Setpoint: -160 RPM		Vel.: -151 RPM	erro: -8.77 RPM		Controle: -111.14	AcaoP: -5.26	AcaoI: -106.32	 AcaoD: 0.00
Tempo: 9.8s	Setpoint: -160 RPM		Vel.: -153 RPM	erro: -7.01 RPM		Controle: -111.58	AcaoP: -4.21	AcaoI: -106.67	 AcaoD: 0.00
Tempo: 9.9s	Setpoint: -160 RPM		Vel.: -153 RPM	erro: -7.01 RPM		Controle: -110.88	AcaoP: -4.21	AcaoI: -107.02	 AcaoD: 0.00
Tempo: 10.0s	Setpoint: -160 RPM		Vel.: -153 RPM	erro: -7.01 RPM		Controle: -111.23	AcaoP: -4.21	AcaoI: -107.37	 AcaoD: 0.00
Tempo: 10.1s	Setpoint: -160 RPM		Vel.: -153 RPM	erro: -7.01 RPM		Controle: -111.58	AcaoP: -4.21	AcaoI: -107.72	 AcaoD: 0.00
Tempo: 10.3s	Setpoint: -160 RPM		Vel.: -153 RPM	erro: -7.01 RPM		Controle: -111.93	AcaoP: -4.21	AcaoI: -108.07	 AcaoD: 0.00
Tempo: 10.4s	Setpoint: -160 RPM		Vel.: -151 RPM	erro: -8.77 RPM		Controle: -112.28	AcaoP: -5.26	AcaoI: -108.51	 AcaoD: 0.00
Tempo: 10.5s	Setpoint: -160 RPM		Vel.: -153 RPM	erro: -7.01 RPM		Controle: -113.77	AcaoP: -4.21	AcaoI: -108.86	 AcaoD: 0.00
Tempo: 10.7s	Setpoint: -160 RPM		Vel.: -155 RPM	erro: -5.25 RPM		Controle: -113.07	AcaoP: -3.15	AcaoI: -109.12	 AcaoD: 0.00
Tempo: 10.8s	Setpoint: -160 RPM		Vel.: -155 RPM	erro: -5.25 RPM		Controle: -112.28	AcaoP: -3.15	AcaoI: -109.39	 AcaoD: 0.00
Tempo: 10.9s	Setpoint: -160 RPM		Vel.: -155 RPM	erro: -5.25 RPM		Controle: -112.54	AcaoP: -3.15	AcaoI: -109.65	 AcaoD: 0.00
Tempo: 11.0s	Setpoint: -160 RPM		Vel.: -153 RPM	erro: -7.01 RPM		Controle: -112.80	AcaoP: -4.21	AcaoI: -110.00	 AcaoD: 0.00
Tempo: 11.2s	Setpoint: -160 RPM		Vel.: -153 RPM	erro: -7.01 RPM		Controle: -114.21	AcaoP: -4.21	AcaoI: -110.35	 AcaoD: 0.00
Tempo: 11.3s	Setpoint: -160 RPM		Vel.: -155 RPM	erro: -5.25 RPM		Controle: -114.56	AcaoP: -3.15	AcaoI: -110.61	 AcaoD: 0.00
Tempo: 11.4s	Setpoint: -160 RPM		Vel.: -157 RPM	erro: -3.49 RPM		Controle: -113.76	AcaoP: -2.10	AcaoI: -110.79	 AcaoD: 0.00
Tempo: 11.6s	Setpoint: -160 RPM		Vel.: -155 RPM	erro: -5.25 RPM		Controle: -112.88	AcaoP: -3.15	AcaoI: -111.05	 AcaoD: 0.00
Tempo: 11.7s	Setpoint: -160 RPM		Vel.: -157 RPM	erro: -3.49 RPM		Controle: -114.20	AcaoP: -2.10	AcaoI: -111.23	 AcaoD: 0.00
Tempo: 11.8s	Setpoint: -160 RPM		Vel.: -157 RPM	erro: -3.49 RPM		Controle: -113.32	AcaoP: -2.10	AcaoI: -111.40	 AcaoD: 0.00
Tempo: 12.0s	Setpoint: -160 RPM		Vel.: -157 RPM	erro: -3.49 RPM		Controle: -113.50	AcaoP: -2.10	AcaoI: -111.57	 AcaoD: 0.00
Tempo: 12.1s	Setpoint: -160 RPM		Vel.: -158 RPM	erro: -1.74 RPM		Controle: -113.67	AcaoP: -1.04	AcaoI: -111.66	 AcaoD: 0.00
Tempo: 12.2s	Setpoint: -160 RPM		Vel.: -157 RPM	erro: -3.49 RPM		Controle: -112.70	AcaoP: -2.10	AcaoI: -111.84	 AcaoD: 0.00
Tempo: 12.3s	Setpoint: -160 RPM		Vel.: -157 RPM	erro: -3.49 RPM		Controle: -113.93	AcaoP: -2.10	AcaoI: -112.01	 AcaoD: 0.00
Tempo: 12.5s	Setpoint: -160 RPM		Vel.: -155 RPM	erro: -5.25 RPM		Controle: -114.11	AcaoP: -3.15	AcaoI: -112.27	 AcaoD: 0.00
Tempo: 12.6s	Setpoint: -160 RPM		Vel.: -155 RPM	erro: -5.25 RPM		Controle: -115.42	AcaoP: -3.15	AcaoI: -112.54	 AcaoD: 0.00
Tempo: 12.7s	Setpoint: -160 RPM		Vel.: -157 RPM	erro: -3.49 RPM		Controle: -115.69	AcaoP: -2.10	AcaoI: -112.71	 AcaoD: 0.00
Tempo: 12.9s	Setpoint: -160 RPM		Vel.: -157 RPM	erro: -3.49 RPM		Controle: -114.81	AcaoP: -2.10	AcaoI: -112.89	 AcaoD: 0.00
Tempo: 13.0s	Setpoint: -160 RPM		Vel.: -157 RPM	erro: -3.49 RPM		Controle: -114.98	AcaoP: -2.10	AcaoI: -113.06	 AcaoD: 0.00
Tempo: 13.1s	Setpoint: -160 RPM		Vel.: -158 RPM	erro: -1.74 RPM		Controle: -115.16	AcaoP: -1.04	AcaoI: -113.15	 AcaoD: 0.00
Tempo: 13.3s	Setpoint: -160 RPM		Vel.: -157 RPM	erro: -3.49 RPM		Controle: -114.19	AcaoP: -2.10	AcaoI: -113.32	 AcaoD: 0.00
Tempo: 13.4s	Setpoint: -160 RPM		Vel.: -158 RPM	erro: -1.74 RPM		Controle: -115.42	AcaoP: -1.04	AcaoI: -113.41	 AcaoD: 0.00
Tempo: 13.5s	Setpoint: -160 RPM		Vel.: -158 RPM	erro: -1.74 RPM		Controle: -114.45	AcaoP: -1.04	AcaoI: -113.49	 AcaoD: 0.00
Tempo: 13.6s	Setpoint: -160 RPM		Vel.: -158 RPM	erro: -1.74 RPM		Controle: -114.54	AcaoP: -1.04	AcaoI: -113.58	 AcaoD: 0.00
Tempo: 13.8s	Setpoint: -160 RPM		Vel.: -158 RPM	erro: -1.74 RPM		Controle: -114.62	AcaoP: -1.04	AcaoI: -113.67	 AcaoD: 0.00
Tempo: 13.9s	Setpoint: -160 RPM		Vel.: -160 RPM	erro: 0.02 RPM		Controle: -114.71	AcaoP: 0.01	AcaoI: -113.67	 AcaoD: 0.00
Tempo: 14.0s	Setpoint: -160 RPM		Vel.: -157 RPM	erro: -3.49 RPM		Controle: -113.65	AcaoP: -2.10	AcaoI: -113.84	 AcaoD: 0.00
Tempo: 14.2s	Setpoint: -160 RPM		Vel.: -158 RPM	erro: -1.74 RPM		Controle: -115.94	AcaoP: -1.04	AcaoI: -113.93	 AcaoD: 0.00
Tempo: 14.3s	Setpoint: -160 RPM		Vel.: -160 RPM	erro: 0.02 RPM		Controle: -114.97	AcaoP: 0.01	AcaoI: -113.93	 AcaoD: 0.00
Tempo: 14.4s	Setpoint: -160 RPM		Vel.: -157 RPM	erro: -3.49 RPM		Controle: -113.91	AcaoP: -2.10	AcaoI: -114.10	 AcaoD: 0.00
Tempo: 14.6s	Setpoint: -160 RPM		Vel.: -158 RPM	erro: -1.74 RPM		Controle: -116.20	AcaoP: -1.04	AcaoI: -114.19	 AcaoD: 0.00
Tempo: 14.7s	Setpoint: -160 RPM		Vel.: -160 RPM	erro: 0.02 RPM		Controle: -115.23	AcaoP: 0.01	AcaoI: -114.19	 AcaoD: 0.00
Tempo: 14.8s	Setpoint: -160 RPM		Vel.: -157 RPM	erro: -3.49 RPM		Controle: -114.17	AcaoP: -2.10	AcaoI: -114.36	 AcaoD: 0.00
Tempo: 14.9s	Setpoint: -160 RPM		Vel.: -160 RPM	erro: 0.02 RPM		Controle: -116.46	AcaoP: 0.01	AcaoI: -114.36	 AcaoD: 0.00
Tempo: 15.1s	Setpoint: -160 RPM		Vel.: -157 RPM	erro: -3.49 RPM		Controle: -114.35	AcaoP: -2.10	AcaoI: -114.54	 AcaoD: 0.00
Tempo: 15.2s	Setpoint: -160 RPM		Vel.: -158 RPM	erro: -1.74 RPM		Controle: -116.63	AcaoP: -1.04	AcaoI: -114.62	 AcaoD: 0.00
Tempo: 15.3s	Setpoint: -160 RPM		Vel.: -158 RPM	erro: -1.74 RPM		Controle: -115.66	AcaoP: -1.04	AcaoI: -114.71	 AcaoD: 0.00
Tempo: 15.5s	Setpoint: -160 RPM		Vel.: -158 RPM	erro: -1.74 RPM		Controle: -115.75	AcaoP: -1.04	AcaoI: -114.80	 AcaoD: 0.00
Tempo: 15.6s	Setpoint: -160 RPM		Vel.: -158 RPM	erro: -1.74 RPM		Controle: -115.84	AcaoP: -1.04	AcaoI: -114.88	 AcaoD: 0.00
Tempo: 15.7s	Setpoint: -160 RPM		Vel.: -158 RPM	erro: -1.74 RPM		Controle: -115.92	AcaoP: -1.04	AcaoI: -114.97	 AcaoD: 0.00
Tempo: 15.9s	Setpoint: -160 RPM		Vel.: -160 RPM	erro: 0.02 RPM		Controle: -116.01	AcaoP: 0.01	AcaoI: -114.97	 AcaoD: 0.00
Tempo: 16.0s	Setpoint: -160 RPM		Vel.: -157 RPM	erro: -3.49 RPM		Controle: -114.95	AcaoP: -2.10	AcaoI: -115.14	 AcaoD: 0.00
Tempo: 16.1s	Setpoint: -160 RPM		Vel.: -158 RPM	erro: -1.74 RPM		Controle: -117.24	AcaoP: -1.04	AcaoI: -115.23	 AcaoD: 0.00
Tempo: 16.2s	Setpoint: -160 RPM		Vel.: -158 RPM	erro: -1.74 RPM		Controle: -116.27	AcaoP: -1.04	AcaoI: -115.32	 AcaoD: 0.00
Tempo: 16.4s	Setpoint: -160 RPM		Vel.: -160 RPM	erro: 0.02 RPM		Controle: -116.36	AcaoP: 0.01	AcaoI: -115.32	 AcaoD: 0.00
Tempo: 16.5s	Setpoint: -160 RPM		Vel.: -157 RPM	erro: -3.49 RPM		Controle: -115.30	AcaoP: -2.10	AcaoI: -115.49	 AcaoD: 0.00
Tempo: 16.6s	Setpoint: -160 RPM		Vel.: -160 RPM	erro: 0.02 RPM		Controle: -117.59	AcaoP: 0.01	AcaoI: -115.49	 AcaoD: 0.00
Tempo: 16.8s	Setpoint: -160 RPM		Vel.: -157 RPM	erro: -3.49 RPM		Controle: -115.47	AcaoP: -2.10	AcaoI: -115.66	 AcaoD: 0.00
Tempo: 16.9s	Setpoint: -160 RPM		Vel.: -160 RPM	erro: 0.02 RPM		Controle: -117.76	AcaoP: 0.01	AcaoI: -115.66	 AcaoD: 0.00
Tempo: 17.0s	Setpoint: -160 RPM		Vel.: -158 RPM	erro: -1.74 RPM		Controle: -115.65	AcaoP: -1.04	AcaoI: -115.75	 AcaoD: 0.00
Tempo: 17.1s	Setpoint: -160 RPM		Vel.: -160 RPM	erro: 0.02 RPM		Controle: -116.79	AcaoP: 0.01	AcaoI: -115.75	 AcaoD: 0.00
Tempo: 17.3s	Setpoint: -160 RPM		Vel.: -158 RPM	erro: -1.74 RPM		Controle: -115.73	AcaoP: -1.04	AcaoI: -115.83	 AcaoD: 0.00
Tempo: 17.4s	Setpoint: -160 RPM		Vel.: -160 RPM	erro: 0.02 RPM		Controle: -116.88	AcaoP: 0.01	AcaoI: -115.83	 AcaoD: 0.00
Tempo: 17.5s	Setpoint: -160 RPM		Vel.: -158 RPM	erro: -1.74 RPM		Controle: -115.82	AcaoP: -1.04	AcaoI: -115.92	 AcaoD: 0.00
Tempo: 17.7s	Setpoint: -160 RPM		Vel.: -162 RPM	erro: 1.78 RPM		Controle: -116.96	AcaoP: 1.07	AcaoI: -115.83	 AcaoD: 0.00
Tempo: 17.8s	Setpoint: -160 RPM		Vel.: -158 RPM	erro: -1.74 RPM		Controle: -114.76	AcaoP: -1.04	AcaoI: -115.92	 AcaoD: 0.00
Tempo: 17.9s	Setpoint: -160 RPM		Vel.: -160 RPM	erro: 0.02 RPM		Controle: -116.96	AcaoP: 0.01	AcaoI: -115.92	 AcaoD: 0.00
Tempo: 18.0s	Setpoint: -160 RPM		Vel.: -157 RPM	erro: -3.49 RPM		Controle: -115.90	AcaoP: -2.10	AcaoI: -116.09	 AcaoD: 0.00
Tempo: 18.2s	Setpoint: -160 RPM		Vel.: -160 RPM	erro: 0.02 RPM		Controle: -118.19	AcaoP: 0.01	AcaoI: -116.09	 AcaoD: 0.00
Tempo: 18.3s	Setpoint: -160 RPM		Vel.: -158 RPM	erro: -1.74 RPM		Controle: -116.08	AcaoP: -1.04	AcaoI: -116.18	 AcaoD: 0.00
Tempo: 18.4s	Setpoint: -160 RPM		Vel.: -162 RPM	erro: 1.78 RPM		Controle: -117.22	AcaoP: 1.07	AcaoI: -116.09	 AcaoD: 0.00
Tempo: 18.6s	Setpoint: -160 RPM		Vel.: -158 RPM	erro: -1.74 RPM		Controle: -115.02	AcaoP: -1.04	AcaoI: -116.17	 AcaoD: 0.00
Tempo: 18.7s	Setpoint: -160 RPM		Vel.: -160 RPM	erro: 0.02 RPM		Controle: -117.22	AcaoP: 0.01	AcaoI: -116.17	 AcaoD: 0.00
Tempo: 18.8s	Setpoint: -160 RPM		Vel.: -158 RPM	erro: -1.74 RPM		Controle: -116.16	AcaoP: -1.04	AcaoI: -116.26	 AcaoD: 0.00
Tempo: 18.9s	Setpoint: -160 RPM		Vel.: -162 RPM	erro: 1.78 RPM		Controle: -117.30	AcaoP: 1.07	AcaoI: -116.17	 AcaoD: 0.00
Tempo: 19.1s	Setpoint: -160 RPM		Vel.: -158 RPM	erro: -1.74 RPM		Controle: -115.10	AcaoP: -1.04	AcaoI: -116.26	 AcaoD: 0.00
Tempo: 19.2s	Setpoint: -160 RPM		Vel.: -162 RPM	erro: 1.78 RPM		Controle: -117.30	AcaoP: 1.07	AcaoI: -116.17	 AcaoD: 0.00
Tempo: 19.3s	Setpoint: -160 RPM		Vel.: -158 RPM	erro: -1.74 RPM		Controle: -115.10	AcaoP: -1.04	AcaoI: -116.26	 AcaoD: 0.00
Tempo: 19.5s	Setpoint: -160 RPM		Vel.: -160 RPM	erro: 0.02 RPM		Controle: -117.30	AcaoP: 0.01	AcaoI: -116.25	 AcaoD: 0.00
Tempo: 19.6s	Setpoint: -160 RPM		Vel.: -158 RPM	erro: -1.74 RPM		Controle: -116.24	AcaoP: -1.04	AcaoI: -116.34	 AcaoD: 0.00
Tempo: 19.7s	Setpoint: -160 RPM		Vel.: -162 RPM	erro: 1.78 RPM		Controle: -117.38	AcaoP: 1.07	AcaoI: -116.25	 AcaoD: 0.00
Tempo: 19.8s	Setpoint: -160 RPM		Vel.: -158 RPM	erro: -1.74 RPM		Controle: -115.18	AcaoP: -1.04	AcaoI: -116.34	 AcaoD: 0.00
Tempo: 20.0s	Setpoint: -160 RPM		Vel.: -162 RPM	erro: 1.78 RPM		Controle: -117.38	AcaoP: 1.07	AcaoI: -116.25	 AcaoD: 0.00
