Tempo: 11.8s	Setpoint: 64 RPM		Vel.: 77 RPM	erro: -13.37 RPM		Controle: 64.79	AcaoP: -8.02	AcaoI: 59.80
Tempo: 11.9s	Setpoint: 64 RPM		Vel.: 79 RPM	erro: -15.13 RPM		Controle: 51.77	AcaoP: -9.08	AcaoI: 52.23
Tempo: 12.0s	Setpoint: 64 RPM		Vel.: 76 RPM	erro: -11.62 RPM		Controle: 43.15	AcaoP: -6.97	AcaoI: 46.42
Tempo: 12.1s	Setpoint: 64 RPM		Vel.: 67 RPM	erro: -2.82 RPM		Controle: 39.45	AcaoP: -1.69	AcaoI: 45.01
Tempo: 12.2s	Setpoint: 64 RPM		Vel.: 56 RPM	erro: 7.73 RPM		Controle: 43.32	AcaoP: 4.64	AcaoI: 48.88
Tempo: 12.4s	Setpoint: 64 RPM		Vel.: 47 RPM	erro: 16.52 RPM		Controle: 53.51	AcaoP: 9.91	AcaoI: 57.14
Tempo: 12.5s	Setpoint: 64 RPM		Vel.: 46 RPM	erro: 18.28 RPM		Controle: 67.05	AcaoP: 10.97	AcaoI: 66.28
Tempo: 12.6s	Setpoint: 64 RPM		Vel.: 56 RPM	erro: 7.73 RPM		Controle: 77.24	AcaoP: 4.64	AcaoI: 70.14
Tempo: 12.7s	Setpoint: 65 RPM		Vel.: 69 RPM	erro: -3.58 RPM		Controle: 74.78	AcaoP: -2.15	AcaoI: 68.35
Tempo: 12.8s	Setpoint: 65 RPM		Vel.: 79 RPM	erro: -14.13 RPM		Controle: 66.20	AcaoP: -8.48	AcaoI: 61.28
Tempo: 12.9s	Setpoint: 64 RPM		Vel.: 83 RPM	erro: -18.65 RPM		Controle: 52.80	AcaoP: -11.19	AcaoI: 51.96
Tempo: 13.0s	Setpoint: 64 RPM		Vel.: 81 RPM	erro: -16.89 RPM		Controle: 40.77	AcaoP: -10.13	AcaoI: 43.51
Tempo: 13.1s	Setpoint: 64 RPM		Vel.: 69 RPM	erro: -4.58 RPM		Controle: 33.38	AcaoP: -2.75	AcaoI: 41.22
