Tempo: 10.2s	Setpoint: -160 RPM		Vel.: -158 RPM	erro: -1.74 RPM		Controle: -138.22	AcaoP: -1.04	AcaoI: -139.46
Tempo: 10.3s	Setpoint: -160 RPM		Vel.: -160 RPM	erro: 0.02 RPM		Controle: -140.50	AcaoP: 0.01	AcaoI: -139.46
Tempo: 10.5s	Setpoint: -160 RPM		Vel.: -158 RPM	erro: -1.74 RPM		Controle: -139.44	AcaoP: -1.04	AcaoI: -139.63
Tempo: 10.6s	Setpoint: -160 RPM		Vel.: -160 RPM	erro: 0.02 RPM		Controle: -140.67	AcaoP: 0.01	AcaoI: -139.63
Tempo: 10.7s	Setpoint: -160 RPM		Vel.: -158 RPM	erro: -1.74 RPM		Controle: -139.62	AcaoP: -1.04	AcaoI: -139.80
Tempo: 10.8s	Setpoint: -160 RPM		Vel.: -160 RPM	erro: 0.02 RPM		Controle: -140.84	AcaoP: 0.01	AcaoI: -139.80
Tempo: 10.9s	Setpoint: -160 RPM		Vel.: -158 RPM	erro: -1.74 RPM		Controle: -139.79	AcaoP: -1.04	AcaoI: -139.97
Tempo: 11.0s	Setpoint: -160 RPM		Vel.: -160 RPM	erro: 0.02 RPM		Controle: -141.02	AcaoP: 0.01	AcaoI: -139.97
Tempo: 11.2s	Setpoint: -160 RPM		Vel.: -158 RPM	erro: -1.74 RPM		Controle: -139.96	AcaoP: -1.04	AcaoI: -140.15
Tempo: 11.3s	Setpoint: -160 RPM		Vel.: -164 RPM	erro: 3.54 RPM		Controle: -141.19	AcaoP: 2.12	AcaoI: -139.79
Tempo: 11.4s	Setpoint: -160 RPM		Vel.: -158 RPM	erro: -1.74 RPM		Controle: -137.67	AcaoP: -1.04	AcaoI: -139.97
Tempo: 11.5s	Setpoint: -160 RPM		Vel.: -162 RPM	erro: 1.78 RPM		Controle: -141.01	AcaoP: 1.07	AcaoI: -139.79
Tempo: 11.6s	Setpoint: -160 RPM		Vel.: -160 RPM	erro: 0.02 RPM		Controle: -138.72	AcaoP: 0.01	AcaoI: -139.78
Tempo: 11.7s	Setpoint: -160 RPM		Vel.: -158 RPM	erro: -1.74 RPM		Controle: -139.77	AcaoP: -1.04	AcaoI: -139.96
Tempo: 11.8s	Setpoint: -160 RPM		Vel.: -162 RPM	erro: 1.78 RPM		Controle: -141.00	AcaoP: 1.07	AcaoI: -139.78
Tempo: 12.0s	Setpoint: -160 RPM		Vel.: -160 RPM	erro: 0.02 RPM		Controle: -138.71	AcaoP: 0.01	AcaoI: -139.78
Tempo: 12.1s	Setpoint: -160 RPM		Vel.: -160 RPM	erro: 0.02 RPM		Controle: -139.76	AcaoP: 0.01	AcaoI: -139.78
Tempo: 12.2s	Setpoint: -160 RPM		Vel.: -160 RPM	erro: 0.02 RPM		Controle: -139.76	AcaoP: 0.01	AcaoI: -139.77
Tempo: 12.3s	Setpoint: -160 RPM		Vel.: -158 RPM	erro: -1.74 RPM		Controle: -139.76	AcaoP: -1.04	AcaoI: -139.95
Tempo: 12.4s	Setpoint: -160 RPM		Vel.: -164 RPM	erro: 3.54 RPM		Controle: -140.99	AcaoP: 2.12	AcaoI: -139.59
Tempo: 12.5s	Setpoint: -160 RPM		Vel.: -158 RPM	erro: -1.74 RPM		Controle: -137.47	AcaoP: -1.04	AcaoI: -139.77
Tempo: 12.7s	Setpoint: -160 RPM		Vel.: -164 RPM	erro: 3.54 RPM		Controle: -140.81	AcaoP: 2.12	AcaoI: -139.41
Tempo: 12.8s	Setpoint: -160 RPM		Vel.: -158 RPM	erro: -1.74 RPM		Controle: -137.29	AcaoP: -1.04	AcaoI: -139.59
Tempo: 12.9s	Setpoint: -160 RPM		Vel.: -162 RPM	erro: 1.78 RPM		Controle: -140.63	AcaoP: 1.07	AcaoI: -139.41
Tempo: 13.0s	Setpoint: -160 RPM		Vel.: -158 RPM	erro: -1.74 RPM		Controle: -138.34	AcaoP: -1.04	AcaoI: -139.58
Tempo: 13.1s	Setpoint: -160 RPM		Vel.: -162 RPM	erro: 1.78 RPM		Controle: -140.62	AcaoP: 1.07	AcaoI: -139.40
Tempo: 13.2s	Setpoint: -160 RPM		Vel.: -160 RPM	erro: 0.02 RPM		Controle: -138.33	AcaoP: 0.01	AcaoI: -139.40
Tempo: 13.3s	Setpoint: -160 RPM		Vel.: -160 RPM	erro: 0.02 RPM		Controle: -139.39	AcaoP: 0.01	AcaoI: -139.40
Tempo: 13.5s	Setpoint: -160 RPM		Vel.: -162 RPM	erro: 1.78 RPM		Controle: -139.38	AcaoP: 1.07	AcaoI: -139.22
Tempo: 13.6s	Setpoint: -160 RPM		Vel.: -160 RPM	erro: 0.02 RPM		Controle: -138.15	AcaoP: 0.01	AcaoI: -139.22
Tempo: 13.7s	Setpoint: -160 RPM		Vel.: -160 RPM	erro: 0.02 RPM		Controle: -139.20	AcaoP: 0.01	AcaoI: -139.22
Tempo: 13.8s	Setpoint: -160 RPM		Vel.: -160 RPM	erro: 0.02 RPM		Controle: -139.20	AcaoP: 0.01	AcaoI: -139.21
Tempo: 13.9s	Setpoint: -160 RPM		Vel.: -160 RPM	erro: 0.02 RPM		Controle: -139.20	AcaoP: 0.01	AcaoI: -139.21
Tempo: 14.0s	Setpoint: -160 RPM		Vel.: -160 RPM	erro: 0.02 RPM		Controle: -139.20	AcaoP: 0.01	AcaoI: -139.21
Tempo: 14.1s	Setpoint: -160 RPM		Vel.: -160 RPM	erro: 0.02 RPM		Controle: -139.19	AcaoP: 0.01	AcaoI: -139.21
Tempo: 14.3s	Setpoint: -160 RPM		Vel.: -162 RPM	erro: 1.78 RPM		Controle: -139.19	AcaoP: 1.07	AcaoI: -139.03
Tempo: 14.4s	Setpoint: -160 RPM		Vel.: -160 RPM	erro: 0.02 RPM		Controle: -137.96	AcaoP: 0.01	AcaoI: -139.03
Tempo: 14.5s	Setpoint: -160 RPM		Vel.: -158 RPM	erro: -1.74 RPM		Controle: -139.01	AcaoP: -1.04	AcaoI: -139.20
Tempo: 14.6s	Setpoint: -160 RPM		Vel.: -162 RPM	erro: 1.78 RPM		Controle: -140.24	AcaoP: 1.07	AcaoI: -139.02
Tempo: 14.7s	Setpoint: -160 RPM		Vel.: -158 RPM	erro: -1.74 RPM		Controle: -137.95	AcaoP: -1.04	AcaoI: -139.19
Tempo: 14.8s	Setpoint: -160 RPM		Vel.: -160 RPM	erro: 0.02 RPM		Controle: -140.24	AcaoP: 0.01	AcaoI: -139.19
Tempo: 15.0s	Setpoint: -160 RPM		Vel.: -158 RPM	erro: -1.74 RPM		Controle: -139.18	AcaoP: -1.04	AcaoI: -139.37
Tempo: 15.1s	Setpoint: -160 RPM		Vel.: -162 RPM	erro: 1.78 RPM		Controle: -140.41	AcaoP: 1.07	AcaoI: -139.19
Tempo: 15.2s	Setpoint: -160 RPM		Vel.: -160 RPM	erro: 0.02 RPM		Controle: -138.12	AcaoP: 0.01	AcaoI: -139.18
Tempo: 15.3s	Setpoint: -160 RPM		Vel.: -158 RPM	erro: -1.74 RPM		Controle: -139.17	AcaoP: -1.04	AcaoI: -139.36
Tempo: 15.4s	Setpoint: -160 RPM		Vel.: -164 RPM	erro: 3.54 RPM		Controle: -140.40	AcaoP: 2.12	AcaoI: -139.00
Tempo: 15.5s	Setpoint: -160 RPM		Vel.: -160 RPM	erro: 0.02 RPM		Controle: -136.88	AcaoP: 0.01	AcaoI: -139.00
Tempo: 15.6s	Setpoint: -160 RPM		Vel.: -160 RPM	erro: 0.02 RPM		Controle: -138.99	AcaoP: 0.01	AcaoI: -139.00
Tempo: 15.8s	Setpoint: -160 RPM		Vel.: -160 RPM	erro: 0.02 RPM		Controle: -138.99	AcaoP: 0.01	AcaoI: -139.00
Tempo: 15.9s	Setpoint: -160 RPM		Vel.: -158 RPM	erro: -1.74 RPM		Controle: -138.98	AcaoP: -1.04	AcaoI: -139.17
Tempo: 16.0s	Setpoint: -160 RPM		Vel.: -164 RPM	erro: 3.54 RPM		Controle: -140.21	AcaoP: 2.12	AcaoI: -138.82
Tempo: 16.1s	Setpoint: -160 RPM		Vel.: -160 RPM	erro: 0.02 RPM		Controle: -136.69	AcaoP: 0.01	AcaoI: -138.81
Tempo: 16.2s	Setpoint: -160 RPM		Vel.: -162 RPM	erro: 1.78 RPM		Controle: -138.80	AcaoP: 1.07	AcaoI: -138.64
Tempo: 16.3s	Setpoint: -160 RPM		Vel.: -160 RPM	erro: 0.02 RPM		Controle: -137.57	AcaoP: 0.01	AcaoI: -138.63
Tempo: 16.4s	Setpoint: -160 RPM		Vel.: -160 RPM	erro: 0.02 RPM		Controle: -138.62	AcaoP: 0.01	AcaoI: -138.63
Tempo: 16.6s	Setpoint: -160 RPM		Vel.: -160 RPM	erro: 0.02 RPM		Controle: -138.62	AcaoP: 0.01	AcaoI: -138.63
Tempo: 16.7s	Setpoint: -160 RPM		Vel.: -160 RPM	erro: 0.02 RPM		Controle: -138.61	AcaoP: 0.01	AcaoI: -138.63
Tempo: 16.8s	Setpoint: -160 RPM		Vel.: -160 RPM	erro: 0.02 RPM		Controle: -138.61	AcaoP: 0.01	AcaoI: -138.62
Tempo: 16.9s	Setpoint: -160 RPM		Vel.: -160 RPM	erro: 0.02 RPM		Controle: -138.61	AcaoP: 0.01	AcaoI: -138.62
Tempo: 17.0s	Setpoint: -160 RPM		Vel.: -160 RPM	erro: 0.02 RPM		Controle: -138.61	AcaoP: 0.01	AcaoI: -138.62
Tempo: 17.1s	Setpoint: -160 RPM		Vel.: -158 RPM	erro: -1.74 RPM		Controle: -138.61	AcaoP: -1.04	AcaoI: -138.79
Tempo: 17.2s	Setpoint: -160 RPM		Vel.: -164 RPM	erro: 3.54 RPM		Controle: -139.83	AcaoP: 2.12	AcaoI: -138.44
Tempo: 17.4s	Setpoint: -160 RPM		Vel.: -160 RPM	erro: 0.02 RPM		Controle: -136.31	AcaoP: 0.01	AcaoI: -138.44
Tempo: 17.5s	Setpoint: -160 RPM		Vel.: -160 RPM	erro: 0.02 RPM		Controle: -138.42	AcaoP: 0.01	AcaoI: -138.43
Tempo: 17.6s	Setpoint: -160 RPM		Vel.: -160 RPM	erro: 0.02 RPM		Controle: -138.42	AcaoP: 0.01	AcaoI: -138.43
Tempo: 17.7s	Setpoint: -160 RPM		Vel.: -160 RPM	erro: 0.02 RPM		Controle: -138.42	AcaoP: 0.01	AcaoI: -138.43
Tempo: 17.8s	Setpoint: -160 RPM		Vel.: -160 RPM	erro: 0.02 RPM		Controle: -138.42	AcaoP: 0.01	AcaoI: -138.43
Tempo: 17.9s	Setpoint: -160 RPM		Vel.: -160 RPM	erro: 0.02 RPM		Controle: -138.41	AcaoP: 0.01	AcaoI: -138.42
Tempo: 18.0s	Setpoint: -160 RPM		Vel.: -162 RPM	erro: 1.78 RPM		Controle: -138.41	AcaoP: 1.07	AcaoI: -138.25
Tempo: 18.2s	Setpoint: -160 RPM		Vel.: -160 RPM	erro: 0.02 RPM		Controle: -137.18	AcaoP: 0.01	AcaoI: -138.24
Tempo: 18.3s	Setpoint: -160 RPM		Vel.: -160 RPM	erro: 0.02 RPM		Controle: -138.23	AcaoP: 0.01	AcaoI: -138.24
Tempo: 18.4s	Setpoint: -160 RPM		Vel.: -160 RPM	erro: 0.02 RPM		Controle: -138.23	AcaoP: 0.01	AcaoI: -138.24
Tempo: 18.5s	Setpoint: -160 RPM		Vel.: -160 RPM	erro: 0.02 RPM		Controle: -138.23	AcaoP: 0.01	AcaoI: -138.24
Tempo: 18.6s	Setpoint: -160 RPM		Vel.: -160 RPM	erro: 0.02 RPM		Controle: -138.22	AcaoP: 0.01	AcaoI: -138.23
Tempo: 18.7s	Setpoint: -160 RPM		Vel.: -160 RPM	erro: 0.02 RPM		Controle: -138.22	AcaoP: 0.01	AcaoI: -138.23
Tempo: 18.8s	Setpoint: -160 RPM		Vel.: -160 RPM	erro: 0.02 RPM		Controle: -138.22	AcaoP: 0.01	AcaoI: -138.23
