33.3,93,121,-28.34,76.40,-2.83,64.89
33.4,93,118,-24.82,62.05,-2.48,52.48
33.5,93,109,-16.03,49.99,-1.60,44.46
33.6,93,97,-3.72,42.86,-0.37,42.60
33.7,93,81,12.11,42.23,1.21,48.66
33.8,92,69,23.42,49.87,2.34,60.37
33.9,93,62,31.45,62.71,3.15,76.09
34.0,93,63,29.69,79.24,2.97,90.94
34.2,93,74,19.14,93.91,1.91,100.51
34.3,93,90,3.32,102.43,0.33,102.17
34.4,93,107,-14.27,102.50,-1.43,95.04
34.5,93,120,-26.58,93.61,-2.66,81.75
34.6,93,123,-30.09,79.09,-3.01,66.70
34.7,94,120,-25.58,63.69,-2.56,53.91
34.8,93,111,-17.79,51.35,-1.78,45.02
34.9,93,98,-5.48,43.24,-0.55,42.28
35.0,93,83,10.35,41.73,01.04,47.45
35.1,93,70,22.66,48.49,2.27,58.78
35.2,93,62,31.45,61.05,3.15,74.51
35.3,93,62,31.45,77.66,3.15,90.24
35.5,93,72,20.90,93.38,02.09,100.69
35.6,93,90,3.32,102.78,0.33,102.35
35.7,93,106,-12.51,102.68,-1.25,96.09
35.8,93,118,-24.82,94.84,-2.48,83.68
35.9,93,123,-30.09,81.20,-3.01,68.63
36.0,93,120,-26.58,65.62,-2.66,55.35
36.1,93,113,-19.54,52.69,-1.95,45.57
36.2,93,100,-7.23,43.62,-0.72,41.96
36.3,93,86,6.83,41.23,0.68,45.37
36.4,93,70,22.66,46.06,2.27,56.70
36.5,93,63,29.69,58.97,2.97,71.55
36.7,93,60,33.21,74.52,3.32,88.16
36.8,93,70,22.66,91.48,2.27,99.49
36.9,93,84,8.59,101.75,0.86,103.78
37.0,93,102,-8.99,104.64,-0.90,99.28
37.1,93,118,-24.82,98.39,-2.48,86.88
37.2,93,123,-30.09,84.39,-3.01,71.83
37.3,93,121,-28.34,68.82,-2.83,57.66
37.4,93,114,-21.30,54.83,-2.13,47.01
37.5,93,102,-8.99,44.88,-0.90,42.51
37.6,93,86,6.83,41.61,0.68,45.93
37.7,93,72,20.90,46.61,02.09,56.38
37.9,93,62,31.45,58.47,3.15,72.11
38.0,93,62,31.45,75.25,3.15,87.83
38.1,92,70,21.66,90.98,2.17,98.66
38.2,93,84,8.59,100.83,0.86,102.96
38.3,93,102,-8.99,103.82,-0.90,98.46
38.4,93,116,-23.06,97.56,-2.31,86.93
38.5,93,121,-28.34,84.62,-2.83,72.76
38.6,93,120,-26.58,69.93,-2.66,59.47
38.7,93,114,-21.30,56.82,-2.13,48.82
38.8,93,102,-8.99,46.69,-0.90,44.33
38.9,93,88,05.08,43.43,0.51,46.86
39.0,93,74,19.14,47.37,1.91,56.44
39.2,93,65,27.94,58.35,2.79,70.40
39.3,93,63,29.69,73.20,2.97,85.25
39.4,93,70,22.66,88.22,2.27,96.58
39.5,94,83,11.35,98.85,1.14,102.26
39.6,94,100,-6.23,103.39,-0.62,99.14
39.7,93,114,-21.30,98.51,-2.13,88.49
39.8,93,121,-28.34,86.36,-2.83,74.32
