Tempo: 10.2s	Setpoint: -160 RPM		Vel.: -86 RPM	erro: -73.83 RPM		Controle: -60.49	AcaoP: -59.07	AcaoI: 0.00	 AcaoD: 0.01
Tempo: 10.3s	Setpoint: -160 RPM		Vel.: -88 RPM	erro: -72.08 RPM		Controle: -59.05	AcaoP: -57.66	AcaoI: 0.00	 AcaoD: 0.01
Tempo: 10.5s	Setpoint: -160 RPM		Vel.: -86 RPM	erro: -73.83 RPM		Controle: -57.65	AcaoP: -59.07	AcaoI: 0.00	 AcaoD: -0.01
Tempo: 10.6s	Setpoint: -160 RPM		Vel.: -86 RPM	erro: -73.83 RPM		Controle: -59.08	AcaoP: -59.07	AcaoI: 0.00	 AcaoD: 0.00
Tempo: 10.7s	Setpoint: -160 RPM		Vel.: -84 RPM	erro: -75.59 RPM		Controle: -59.07	AcaoP: -60.47	AcaoI: 0.00	 AcaoD: -0.01
Tempo: 10.9s	Setpoint: -160 RPM		Vel.: -86 RPM	erro: -73.83 RPM		Controle: -60.49	AcaoP: -59.07	AcaoI: 0.00	 AcaoD: 0.01
Tempo: 11.0s	Setpoint: -160 RPM		Vel.: -88 RPM	erro: -72.08 RPM		Controle: -59.05	AcaoP: -57.66	AcaoI: 0.00	 AcaoD: 0.01
Tempo: 11.1s	Setpoint: -160 RPM		Vel.: -86 RPM	erro: -73.83 RPM		Controle: -57.65	AcaoP: -59.07	AcaoI: 0.00	 AcaoD: -0.01
Tempo: 11.2s	Setpoint: -160 RPM		Vel.: -86 RPM	erro: -73.83 RPM		Controle: -59.08	AcaoP: -59.07	AcaoI: 0.00	 AcaoD: 0.00
Tempo: 11.4s	Setpoint: -160 RPM		Vel.: -86 RPM	erro: -73.83 RPM		Controle: -59.07	AcaoP: -59.07	AcaoI: 0.00	 AcaoD: 0.00
Tempo: 11.5s	Setpoint: -160 RPM		Vel.: -86 RPM	erro: -73.83 RPM		Controle: -59.07	AcaoP: -59.07	AcaoI: 0.00	 AcaoD: 0.00
Tempo: 11.6s	Setpoint: -160 RPM		Vel.: -86 RPM	erro: -73.83 RPM		Controle: -59.07	AcaoP: -59.07	AcaoI: 0.00	 AcaoD: 0.00
